Modèles	Étiquettes	Précision	Rappel	F-mesure	Nombre d'occurences
MNB__len=6_sup=0.3	0	0.9281368821292776	0.17525847214244686	0.29484237226718196	13928
MNB__len=6_sup=0.3	1	0.057360905957656326	0.7871621621621622	0.10692978430472694	888
MNB__len=6_sup=0.3	macro_moyenne	0.49274889404346695	0.4812103171523045	0.20088607828595445	_
MNB__len=3_sup=0.6	0	0.9444444444444444	0.17331993107409535	0.2928900752244601	13928
MNB__len=3_sup=0.6	1	0.06084828711256118	0.8400900900900901	0.11347733495588683	888
MNB__len=3_sup=0.6	macro_moyenne	0.5026463657785027	0.5067050105820927	0.20318370509017347	_
MNB__len=3_sup=0.7	0	0.9429124334784712	0.13993394600804135	0.24370115661144104	13928
MNB__len=3_sup=0.7	1	0.060396893874029335	0.8671171171171171	0.11292806335704333	888
MNB__len=3_sup=0.7	macro_moyenne	0.5016546636762502	0.5035255315625793	0.1783146099842422	_
MNB__len=6_sup=0.2	0	0.964040536122916	0.21173176335439403	0.3472066874668865	13928
MNB__len=6_sup=0.2	1	0.0661733435400187	0.8761261261261262	0.12305258995650453	888
MNB__len=6_sup=0.2	macro_moyenne	0.5151069398314674	0.5439289447402601	0.2351296387116955	_
MNB__len=4_sup=0.9	0	0.9932659932659933	0.08472142446869615	0.15612595924847844	13928
MNB__len=4_sup=0.9	1	0.06457293806868213	0.990990990990991	0.12124552218241941	888
MNB__len=4_sup=0.9	macro_moyenne	0.5289194656673377	0.5378562077298435	0.13868574071544892	_
MNB__len=3_sup=0.4	0	0.986304780876494	0.28439115450890295	0.44148461881408824	13928
MNB__len=3_sup=0.4	1	0.07712962962962963	0.9380630630630631	0.14253935660506503	888
MNB__len=3_sup=0.4	macro_moyenne	0.5317172052530618	0.6112271087859831	0.29201198770957665	_
MNB__len=4_sup=0.8	0	0.9960585585585585	0.12701033888569788	0.22529291900152826	13928
MNB__len=4_sup=0.8	1	0.06756134969325153	0.9921171171171171	0.1265077541642734	888
MNB__len=4_sup=0.8	macro_moyenne	0.531809954125905	0.5595637280014075	0.17590033658290083	_
MNB__len=6_sup=0.1	0	0.9343105320304017	0.12356404365307294	0.2182625237793278	13928
MNB__len=6_sup=0.1	1	0.05911823647294589	0.8637387387387387	0.11066224210070696	888
MNB__len=6_sup=0.1	macro_moyenne	0.4967143842516738	0.49365139119590584	0.1644623829400174	_
MNB__len=3_sup=0.1	0	0.9292403746097815	0.6411545089029294	0.7587730478375393	13928
MNB__len=3_sup=0.1	1	0.039953899346907414	0.23423423423423423	0.0682638660978011	888
MNB__len=3_sup=0.1	macro_moyenne	0.48459713697834444	0.4376943715685818	0.4135184569676702	_
MNB__len=6_sup=0.4	0	0.9388707419505367	0.14445720850086158	0.25038889925953584	13928
MNB__len=6_sup=0.4	1	0.05973329124911229	0.8524774774774775	0.11164368409409335	888
MNB__len=6_sup=0.4	macro_moyenne	0.4993020165998245	0.4984673429891695	0.1810162916768146	_
MNB__len=8_sup=0.9	0	0.9965229485396384	0.10288627225732337	0.18651568397761292	13928
MNB__len=8_sup=0.9	1	0.06600388697862161	0.9943693693693694	0.12379083134725921	888
MNB__len=8_sup=0.9	macro_moyenne	0.53126341775913	0.5486278208133464	0.15515325766243607	_
MNB__len=6_sup=0.6	0	0.9428113308391235	0.1266513497989661	0.22330527248560036	13928
MNB__len=6_sup=0.6	1	0.06033217458478177	0.8795045045045045	0.11291838357550783	888
MNB__len=6_sup=0.6	macro_moyenne	0.5015717527119526	0.5030779271517353	0.1681118280305541	_
MNB__len=3_sup=0.3	0	0.9725130890052356	0.4801120045950603	0.6428571428571429	13928
MNB__len=3_sup=0.3	1	0.08803526448362721	0.7871621621621622	0.1583597643860444	888
MNB__len=3_sup=0.3	macro_moyenne	0.5302741767444314	0.6336370833786112	0.40060845362159364	_
MNB__len=3_sup=0.2	0	0.9529130087789306	0.5143595634692706	0.668096614753334	13928
MNB__len=3_sup=0.2	1	0.07317073170731707	0.6013513513513513	0.13046665037869534	888
MNB__len=3_sup=0.2	macro_moyenne	0.5130418702431239	0.557855457410311	0.3992816325660147	_
MNB__len=6_sup=0.7	0	0.9421081376297106	0.12385123492245836	0.21892252046449648	13928
MNB__len=6_sup=0.7	1	0.06022333461686562	0.8806306306306306	0.11273697109493261	888
MNB__len=6_sup=0.7	macro_moyenne	0.5011657361232881	0.5022409327765445	0.16582974577971454	_
MNB__len=8_sup=0.8	0	0.9979846835953244	0.1777713957495692	0.30178560546041805	13928
MNB__len=8_sup=0.8	1	0.07158492095662748	0.9943693693693694	0.13355516902367087	888
MNB__len=8_sup=0.8	macro_moyenne	0.5347848022759759	0.5860703825594693	0.21767038724204446	_
MNB__len=5_sup=0.7	0	0.9940652818991098	0.024052268811028146	0.04696810375043814	13928
MNB__len=5_sup=0.7	1	0.06119207127564058	0.9977477477477478	0.11531203227695712	888
MNB__len=5_sup=0.7	macro_moyenne	0.5276286765873752	0.510900008279388	0.08114006801369764	_
MNB__len=9_sup=0.1	0	0.9766505636070854	0.0870907524411258	0.15992089650626234	13928
MNB__len=9_sup=0.1	1	0.06328274642699278	0.9673423423423423	0.11879408103996679	888
MNB__len=9_sup=0.1	macro_moyenne	0.5199666550170391	0.5272165473917341	0.13935748877311457	_
MNB__len=5_sup=0.6	0	0.994413407821229	0.02556002297530155	0.0498390032199356	13928
MNB__len=5_sup=0.6	1	0.06128095172222991	0.9977477477477478	0.11546982927147141	888
MNB__len=5_sup=0.6	macro_moyenne	0.5278471797717295	0.5116538853615247	0.08265441624570351	_
