Modèles	Étiquettes	Précision	Rappel	F-mesure	Nombre d'occurences
B4__DT10	0	0.9758683729433273	0.9581418724870764	0.9669238850849545	13928
B4__DT10	1	0.4890446976336547	0.6283783783783784	0.5500246426811237	888
B4__DT10	macro_moyenne	0.732456535288491	0.7932601254327274	0.7584742638830391	_
B2__DT10	0	0.9647529849145635	0.968839747271683	0.9667920472864051	13928
B2__DT10	1	0.4764776839565742	0.44481981981981983	0.46010483401281305	888
B2__DT10	macro_moyenne	0.7206153344355688	0.7068297835457514	0.7134484406496091	_
B5__DT10	0	0.9656950512067607	0.9681217690982195	0.9669068875264422	13928
B5__DT10	1	0.4794841735052755	0.4605855855855856	0.4698449167145319	888
B5__DT10	macro_moyenne	0.722589612356018	0.7143536773419026	0.718375902120487	_
B3__DT10	0	0.9531098490095581	0.9880097645031591	0.9702460692378201	13928
B3__DT10	1	0.5582010582010583	0.2376126126126126	0.33333333333333337	888
B3__DT10	macro_moyenne	0.7556554536053082	0.6128111885578859	0.6517897012855767	_
B6__DT10	0	0.9746043165467626	0.9726450315910397	0.9736236883714244	13928
B6__DT10	1	0.584061135371179	0.6024774774774775	0.5931263858093127	888
B6__DT10	macro_moyenne	0.7793327259589709	0.7875612545342585	0.7833750370903685	_
B1__DT10	0	0.9494783086216365	0.9931074095347502	0.9708029197080293	13928
B1__DT10	1	0.6129032258064516	0.17117117117117117	0.2676056338028169	888
B1__DT10	macro_moyenne	0.7811907672140441	0.5821392903529606	0.6192042767554231	_
