Modèles	Étiquettes	Nombre d'occurences	Précision	Rappel	F-mesure
B4__DT10	0	13092	0.9437052200614124	0.7746715551481821	0.8508746172238769
B4__DT10	1	2420	0.3809024134312697	0.75	0.5052192066805845
B2__DT10	0	13092	0.88623121741797	0.8829819737244119	0.8846036118763392
B2__DT10	1	2420	0.37925445705024313	0.3867768595041322	0.3829787234042553
B5__DT10	0	13092	0.8955943093162001	0.8943629697525206	0.8949782160055033
B5__DT10	1	2420	0.43273174733388026	0.4359504132231405	0.4343351173322355
B3__DT10	0	13092	0.8601148260722729	0.9726550565230675	0.9129297057031223
B3__DT10	1	2420	0.49363507779349364	0.14421487603305785	0.22321714102974097
B6__DT10	0	13092	0.9070322729723485	0.8994805988389857	0.9032406519654842
B6__DT10	1	2420	0.479636219849743	0.5012396694214876	0.49020004041220444
B1__DT10	0	13092	0.8526865375718723	0.9854873205010694	0.9142897636679305
B1__DT10	1	2420	0.5013123359580053	0.07892561983471075	0.13637986433416638
