Modèles	Étiquettes	Précision	Rappel	F-mesure	Nombre d'occurences
B6__DT10	0	0.9746043165467626	0.9726450315910397	0.9736236883714244	13928
B6__DT10	1	0.584061135371179	0.6024774774774775	0.5931263858093127	888
B6__DT10	macro_moyenne	0.7793327259589709	0.7875612545342585	0.7833750370903685	_
len=1,1_DT10_abs-freq_	0	0.9814099292848291	0.9665422171165996	0.9739193344185205	13928
len=1,1_DT10_abs-freq_	1	0.5759781619654231	0.7128378378378378	0.6371414192249623	888
len=1,1_DT10_abs-freq_	macro_moyenne	0.7786940456251261	0.8396900274772188	0.8055303768217414	_
len=3,3_DT10_rel-freq_	0	0.9756760623837459	0.9791786329695578	0.9774242098473447	13928
len=3,3_DT10_rel-freq_	1	0.6539379474940334	0.6171171171171171	0.6349942062572421	888
len=3,3_DT10_rel-freq_	macro_moyenne	0.8148070049388897	0.7981478750433375	0.8062092080522933	_
					
B7__DT10 (B6+rstr)	0	0.9745305417655946	0.972501435956347	0.9735149315413087	13928
B7__DT10 (B6+rstr)	1	0.5823336968375137	0.6013513513513513	0.5916897506925207	888
B7__DT10 (B6+rstr)	macro_moyenne	0.7784321193015542	0.7869263936538491	0.7826023411169147	_
